┌─────────────────────────┬─────────────┬──────────┬──────────────────┬─────────────────────┬──────────────────┬──────────────────────┬──────────────────────┬─────────────────────┬─────────────────────────┬─────────────────────────┐
│                    name │ choice_beta │ lag_beta │ lr_R_hat_pre_lag │ lr_R_hat_pre_choice │ harvest_cost_lag │ travel_cost_easy_lag │ travel_cost_hard_lag │ harvest_cost_choice │ travel_cost_easy_choice │ travel_cost_hard_choice │
├─────────────────────────┼─────────────┼──────────┼──────────────────┼─────────────────────┼──────────────────┼──────────────────────┼──────────────────────┼─────────────────────┼─────────────────────────┼─────────────────────────┤
│             choice_beta │         1.0 │   -0.045 │           -0.205 │               0.096 │            0.015 │               -0.119 │                0.052 │               0.552 │                  -0.241 │                  -0.295 │
│                lag_beta │      -0.045 │      1.0 │           -0.004 │               0.475 │            0.191 │                0.112 │               -0.265 │               0.233 │                   0.083 │                  -0.074 │
│        lr_R_hat_pre_lag │      -0.205 │   -0.004 │              1.0 │              -0.187 │            0.314 │                0.322 │                0.327 │              -0.182 │                    0.26 │                   0.253 │
│     lr_R_hat_pre_choice │       0.096 │    0.475 │           -0.187 │                 1.0 │           -0.004 │               -0.009 │                -0.01 │               0.681 │                   0.156 │                  -0.068 │
│        harvest_cost_lag │       0.015 │    0.191 │            0.314 │              -0.004 │              1.0 │                0.812 │                0.739 │              -0.162 │                   0.321 │                  -0.062 │
│    travel_cost_easy_lag │      -0.119 │    0.112 │            0.322 │              -0.009 │            0.812 │                  1.0 │                0.693 │              -0.154 │                   0.347 │                  -0.045 │
│    travel_cost_hard_lag │       0.052 │   -0.265 │            0.327 │               -0.01 │            0.739 │                0.693 │                  1.0 │               0.006 │                    0.27 │                    0.09 │
│     harvest_cost_choice │       0.552 │    0.233 │           -0.182 │               0.681 │           -0.162 │               -0.154 │                0.006 │                 1.0 │                  -0.083 │                  -0.163 │
│ travel_cost_easy_choice │      -0.241 │    0.083 │             0.26 │               0.156 │            0.321 │                0.347 │                 0.27 │              -0.083 │                     1.0 │                   0.483 │
│ travel_cost_hard_choice │      -0.295 │   -0.074 │            0.253 │              -0.068 │           -0.062 │               -0.045 │                 0.09 │              -0.163 │                   0.483 │                     1.0 │
└─────────────────────────┴─────────────┴──────────┴──────────────────┴─────────────────────┴──────────────────┴──────────────────────┴──────────────────────┴─────────────────────┴─────────────────────────┴─────────────────────────┘
