pname,choice_beta,lag_beta,lr_R_hat_pre_lag,lr_R_hat_pre_choice,harvest_cost_lag,travel_cost_easy_lag,travel_cost_hard_lag,harvest_cost_choice,travel_cost_easy_choice,travel_cost_hard_choice
choice_beta,0.0,0.7621,0.1575,0.5131,0.918,0.4193,0.7229,0.0,0.095,0.0392
harvest_cost_choice,0.0,0.108,0.2115,0.0,0.2671,0.2923,0.9686,0.0,0.5743,0.264
harvest_cost_lag,0.918,0.1885,0.0274,0.9775,0.0,0.0,0.0,0.2671,0.024,0.6726
lag_beta,0.7621,0.0,0.9796,0.0005,0.1885,0.444,0.0655,0.108,0.5709,0.617
lr_R_hat_pre_choice,0.5131,0.0005,0.2004,0.0,0.9775,0.9492,0.9458,0.0,0.2858,0.6421
lr_R_hat_pre_lag,0.1575,0.9796,0.0,0.2004,0.0274,0.0238,0.0214,0.2115,0.0713,0.0791
travel_cost_easy_choice,0.095,0.5709,0.0713,0.2858,0.024,0.0141,0.0601,0.5743,0.0,0.0004
travel_cost_easy_lag,0.4193,0.444,0.0238,0.9492,0.0,0.0,0.0,0.2923,0.0141,0.7581
travel_cost_hard_choice,0.0392,0.617,0.0791,0.6421,0.6726,0.7581,0.5392,0.264,0.0004,0.0
travel_cost_hard_lag,0.7229,0.0655,0.0214,0.9458,0.0,0.0,0.0,0.9686,0.0601,0.5392
